id,danger,text,is_choice,attributes,"targets (cause, target(s))"
distaste,safe,"{random} made a mean joke at {self} for the 5th time this week, and now {self} is upset at them.",FALSE,"{self},happiness -1; gold -50",anyone; anyone
distaste,safe,Convince {random} to cut it out.,TRUE,"{self},happiness +1; gold -20",anyone; anyone
distaste,safe,Promise {random} a shiny new tool if they stop.,TRUE,"{random},happiness +2; tool -1",anyone; anyone
rude_blacksmith,problem,"{self} accidently dropped an iron hammer on {random}'s toe, prompting a fight.",FALSE,"{self},happiness -1; {random},happiness -2; gold -100",blacksmith; anyone
rude_blacksmith,problem,Tell {self} to make iron slippers for all customers entering the shop.,TRUE,"{random},happiness +2; tool -1",blacksmith; anyone
rude_blacksmith,problem,Enforce safety procedures stating all tools must be at ground level or 5 meters away from any customers.,TRUE,"{random},happiness +2; {self},happiness -1",blacksmith; anyone
lumberjack_paradox,problem,"The {blacksmith} requested that {self} bring wood for the furnace so he could make a new axe, but {self} doesn't have an axe!",FALSE,"{self},happiness -2; gold -100",lumberjack; blacksmith
lumberjack_paradox,problem,Give {self} a spare axe.,TRUE,"{self},happiness +2; tool -1",lumberjack; blacksmith
lumberjack_paradox,problem,Give {blacksmith} some spare wood.,TRUE,"{blacksmith},happiness +1; wood -5",lumberjack; blacksmith
wooden_furniture,safe,"{self} wants to make a wooden desk for studying, but doesn't have any wood!",FALSE,"{self},happiness -1; gold -50",anyone; none
wooden_furniture,safe,Give {self} some wood to make a wooden desk.,TRUE,"{self},happiness +2; wood -10",anyone; none
wooden_furniture,safe,Give {self} some gold to buy wood.,TRUE,"{self},happiness +1; gold -30",anyone; none
bleeding,critical,"{self} accidently cut themselves badly, and are bleeding profusely!",FALSE,"{self},dead +1; gold -100",anyone; none
bleeding,critical,Give {self} some potions to fully heal up.,TRUE,"{self},happiness +2; potions -2",anyone; none
bleeding,critical,Get one of the best doctors around to treat {self}.,TRUE,"{self},happiness +1; gold -100",anyone; none
rat_problem,critical,A rat got into {self}'s home and stole all their food!,FALSE,"{self},happiness -3; gold -100",anyone; none
rat_problem,critical,Give {self} some food.,TRUE,"{self},happiness +1; food -20",anyone; none
rat_problem,critical,Give {self} some weapons and tell them to go steal it back.,TRUE,food +10; tool -2,anyone; none
weird_guy,safe,"{random} started at {self} for a couple hours, making them extremely uncomfortable.",FALSE,"{self},happiness -1; gold -50",anyone; anyone
weird_guy,safe,Give {random} a shiny potion to look at instead.,TRUE,"{random},happiness +2; potions -1",anyone; anyone
weird_guy,safe,Give {self} an axe to defend themselves.,TRUE,"{self},happiness +1; tool -1",anyone; anyone
undergarment_thief,safe,{self} was drying their clothes when a random bird swooped in and stole specficially only their undergarments.,FALSE,"{self},happiness -1; gold -50",anyone; anyone
undergarment_thief,safe,Buy {self} some new undergarments.,TRUE,"{self},happiness +2; gold -30",anyone; anyone
undergarment_thief,safe,Steal {random}'s undergarments and give it to {self} for free.,TRUE,"{self},happiness +1; {random},happiness -2",anyone; anyone
injured,problem,{self} was accidently injured while working!,FALSE,"{self},happiness -2; gold -100",anyone; none
injured,problem,Give them a potion to heal up quickly.,TRUE,"{self},happiness +3; potions -1",anyone; none
injured,problem,"Take a ""careless tax"" from them and tell them to be more careful in the future.",TRUE,"gold +100; {self},happiness -3",anyone; none
creaky_house,safe,{self} has complained about their house being too creaky!,FALSE,"{self},happiness -1; gold -50",anyone; none
creaky_house,safe,Give {self} some wood to try and fix up their house.,TRUE,"{self},happiness +1; wood -20",anyone; none
creaky_house,safe,"Suggest a small renovation, tearing up the creaky wood and making it a storage space.",TRUE,wood +20; gold -40,anyone; none
broken_house,problem,"{self} recently got in a fight with their neighbor, leading to their house having multiple large gaping holes in the roof.",FALSE,"{self},happiness -2; gold -100",anyone; anyone
broken_house,problem,Give {self} wood to fix their house.,TRUE,"{self},happiness +2; wood -20",anyone; anyone
broken_house,problem,Tell {self} to stuff the holes up with random dry food.,TRUE,"{self},happiness +1; food -40",anyone; anyone
no_weapon,safe,{self} is complaining that they don't own any weapons.,FALSE,"{self},happiness -1; gold -50",anyone; none
no_weapon,safe,Give {self} a weapon.,TRUE,"{self},happiness +2; tool -1",anyone; none
no_weapon,safe,Try and convince them that money is the true power in the world.,TRUE,"{self},happiness +1; gold -50",anyone; none
profession_wars,safe,"{self} thinks that blacksmiths are more useful, while {lumberjack} thinks that lumberjacks are more useful.",FALSE,"{self},happiness -1; {lumberjack},happiness -1; gold -50",blacksmith; lumberjack
profession_wars,safe,Give {lumberjack} a cool axe to convince him blacksmiths are better.,TRUE,"{blacksmith},happiness +2; tool -1",blacksmith; lumberjack
profession_wars,safe,Give {self} some wood for the furnace to convince him lumberjacks are better.,TRUE,"{lumberjack},happiness +2; wood -20",blacksmith; lumberjack
black_hole,critical,"{self} accidently created a black hole, endangering the village!",FALSE,"{self},dead +1; {random}, dead +1; gold -300",wizard; anyone
black_hole,critical,"Trade some potions with the black hole for some money, neutralizing the black hole.",TRUE,gold +100; potions -3,wizard; anyone
black_hole,critical,Throw a bunch of money at the black hole to bribe it to go away.,TRUE,"{self},happiness +2; gold -200",wizard; anyone
test_course,safe,{self} wants some test dummies to test his new spell out on.,FALSE,"{self},happiness -1; gold -50",wizard; anyone
test_course,safe,Throw some healing potions on {random} and use them as a test dummy.,TRUE,"gold +100; {random},happiness -3",wizard; anyone
test_course,safe,Make some test dummies from wood.,TRUE,potions +2; wood -30,wizard; anyone
